년,월,일,설비용량(MW),공급능력(MW),최대전력(MW),공급예비력(MW),공급예비율(%),최대전력기준일시
2024,07,10,148912,97872,80964,16908,20.9,2024/07/10(17:00)
2024,07,09,148897,97233,82246,14987,18.2,2024/07/09(11:00)
2024,07,08,148897,96391,83021,13370,16.1,2024/07/08(11:00)
2024,07,07,148897,93120,70129,22991,32.8,2024/07/07(20:00)
2024,07,06,148897,93120,72015,21105,29.3,2024/07/06(20:00)
2024,07,05,148897,95500,77102,18398,23.9,2024/07/05(19:00)
2024,07,04,148897,95812,81970,13842,16.9,2024/07/04(19:00)
2024,07,03,148897,95509,77555,17954,23.2,2024/07/03(20:00)
2024,07,02,148709,95711,79801,15910,19.9,2024/07/02(11:00)
2024,07,01,148709,95058,78373,16685,21.3,2024/07/01(19:00)
2024,06,30,148709,92841,65856,26985,41,2024/06/30(20:00)
2024,06,29,148089,88692,68360,20332,29.7,2024/06/29(19:00)
2024,06,28,148089,89229,74741,14488,19.4,2024/06/28(19:00)
2024,06,27,148089,92041,76144,15897,20.9,2024/06/27(17:00)
2024,06,26,148089,93282,74719,18563,24.8,2024/06/26(19:00)
2024,06,25,148089,91673,73022,18651,25.5,2024/06/25(19:00)
2024,06,24,148089,91515,76628,14887,19.4,2024/06/24(17:00)
2024,06,23,148089,86778,66868,19910,29.8,2024/06/23(21:00)
2024,06,22,148089,84914,68355,16559,24.2,2024/06/22(12:00)
2024,06,21,148089,91016,77749,13267,17.1,2024/06/21(17:00)
2024,06,20,148089,89378,79731,9647,12.1,2024/06/20(17:00)
2024,06,19,148089,89170,80077,9093,11.4,2024/06/19(18:00)
2024,06,18,148084,87447,76826,10621,13.8,2024/06/18(19:00)
2024,06,17,148084,86828,73958,12870,17.4,2024/06/17(17:00)
2024,06,16,148084,81459,63577,17882,28.1,2024/06/16(21:00)
2024,06,15,148084,83230,66114,17116,25.9,2024/06/15(20:00)
2024,06,14,148084,86901,75619,11282,14.9,2024/06/14(17:00)
2024,06,13,148084,85470,76144,9326,12.2,2024/06/13(19:00)
2024,06,12,148084,84347,74251,10096,13.6,2024/06/12(18:00)
2024,06,11,148013,85597,74244,11353,15.3,2024/06/11(17:00)
2024,06,10,148013,83154,72134,11020,15.3,2024/06/10(20:00)
2024,06,09,148013,80290,60934,19356,31.8,2024/06/09(21:00)
2024,06,08,148013,78011,60509,17502,28.9,2024/06/08(21:00)
2024,06,07,148013,81430,67558,13872,20.5,2024/06/07(19:00)
2024,06,06,148013,82299,65329,16970,26,2024/06/06(20:00)
2024,06,05,148013,82374,69421,12953,18.7,2024/06/05(17:00)
2024,06,04,148010,82534,69279,13255,19.1,2024/06/04(20:00)
2024,06,03,148010,83320,68493,14827,21.6,2024/06/03(19:00)
2024,06,02,148010,80914,58661,22253,37.9,2024/06/02(21:00)
2024,06,01,148010,80669,59085,21584,36.5,2024/06/01(21:00)
2024,05,31,148010,81185,66428,14757,22.2,2024/05/31(20:00)
2024,05,30,148010,81392,69571,11821,17,2024/05/30(17:00)
2024,05,29,148010,81388,68823,12565,18.3,2024/05/29(20:00)
2024,05,28,147999,80711,68694,12017,17.5,2024/05/28(20:00)
2024,05,27,147999,81417,67126,14291,21.3,2024/05/27(20:00)
2024,05,26,147999,81935,59436,22499,37.9,2024/05/26(20:00)
2024,05,25,147999,81428,59700,21728,36.4,2024/05/25(20:00)
2024,05,24,147999,83976,67481,16495,24.4,2024/05/24(20:00)
2024,05,23,147999,82585,69899,12686,18.1,2024/05/23(20:00)
2024,05,22,147999,82015,68837,13178,19.1,2024/05/22(20:00)
2024,05,21,147824,81608,69074,12534,18.1,2024/05/21(20:00)
2024,05,20,147824,81523,68764,12759,18.6,2024/05/20(20:00)
2024,05,19,147824,81405,58903,22502,38.2,2024/05/19(21:00)
2024,05,18,147824,80001,58755,21246,36.2,2024/05/18(21:00)
2024,05,17,147824,84810,64407,20403,31.7,2024/05/17(20:00)
2024,05,16,146781,84251,65411,18840,28.8,2024/05/16(20:00)
2024,05,15,146781,84159,61854,22305,36.1,2024/05/15(20:00)
2024,05,14,146781,82838,66155,16683,25.2,2024/05/14(20:00)
2024,05,13,146781,82781,66062,16719,25.3,2024/05/13(20:00)
2024,05,12,146781,83874,57019,26855,47.1,2024/05/12(21:00)
2024,05,11,146781,81666,60042,21624,36,2024/05/11(20:00)
2024,05,10,146781,84637,65342,19295,29.5,2024/05/10(20:00)
2024,05,09,146781,84188,66481,17707,26.6,2024/05/09(20:00)
2024,05,08,146769,83781,65047,18734,28.8,2024/05/08(20:00)
2024,05,07,146769,82553,67765,14788,21.8,2024/05/07(17:00)
2024,05,06,146769,79868,60134,19734,32.8,2024/05/06(20:00)
2024,05,05,146769,79862,57151,22711,39.7,2024/05/05(20:00)
2024,05,04,146769,80783,57871,22912,39.6,2024/05/04(20:00)
2024,05,03,146769,83940,65403,18537,28.3,2024/05/03(20:00)
2024,05,02,146769,85106,66858,18248,27.3,2024/05/02(20:00)
2024,05,01,146769,84183,60711,23472,38.7,2024/05/01(20:00)
2024,04,30,146804,84692,66065,18627,28.2,2024/04/30(20:00)
2024,04,29,146804,82388,67228,15160,22.6,2024/04/29(19:00)
2024,04,28,146804,82956,58003,24953,43,2024/04/28(20:00)
2024,04,27,146804,82586,57999,24587,42.4,2024/04/27(20:00)
2024,04,26,146804,82938,65026,17912,27.5,2024/04/26(20:00)
2024,04,25,146804,84577,66552,18025,27.1,2024/04/25(20:00)
2024,04,24,146804,84100,66215,17885,27,2024/04/24(20:00)
2024,04,23,146648,83431,66991,16440,24.5,2024/04/23(20:00)
2024,04,22,146648,81352,66727,14625,21.9,2024/04/22(20:00)
2024,04,21,146648,80579,58279,22300,38.3,2024/04/21(20:00)
2024,04,20,146648,81025,59338,21687,36.5,2024/04/20(20:00)
2024,04,19,146648,85986,65136,20850,32,2024/04/19(20:00)
2024,04,18,146648,86846,66740,20106,30.1,2024/04/18(20:00)
2024,04,17,146648,86950,66182,20768,31.4,2024/04/17(20:00)
2024,04,16,146634,86462,67321,19141,28.4,2024/04/16(20:00)
2024,04,15,146634,86527,68634,17893,26.1,2024/04/15(11:00)
2024,04,14,146634,84810,58115,26695,45.9,2024/04/14(20:00)
2024,04,13,146634,84897,58314,26583,45.6,2024/04/13(20:00)
2024,04,12,146634,87005,64816,22189,34.2,2024/04/12(20:00)
2024,04,11,146634,87821,66663,21158,31.7,2024/04/11(20:00)
2024,04,10,146634,89416,62161,27255,43.8,2024/04/10(20:00)
2024,04,09,146634,89521,66950,22571,33.7,2024/04/09(20:00)
2024,04,08,146634,86350,67383,18967,28.1,2024/04/08(20:00)
2024,04,07,146634,85279,57502,27777,48.3,2024/04/07(20:00)
2024,04,06,146634,85887,58937,26950,45.7,2024/04/06(20:00)
2024,04,05,146634,87037,65933,21104,32,2024/04/05(20:00)
2024,04,04,145191,84160,68151,16009,23.5,2024/04/04(20:00)
2024,04,03,145191,83155,71199,11956,16.8,2024/04/03(11:00)
2024,04,02,145175,85029,67742,17287,25.5,2024/04/02(20:00)
2024,04,01,145175,86473,67349,19124,28.4,2024/04/01(20:00)
2024,03,31,145175,80988,58369,22619,38.8,2024/03/31(20:00)
2024,03,30,145175,83827,60199,23628,39.2,2024/03/30(20:00)
2024,03,29,145175,88279,69967,18312,26.2,2024/03/29(14:00)
2024,03,28,145175,86289,75842,10447,13.8,2024/03/28(11:00)
2024,03,27,145175,87771,69829,17942,25.7,2024/03/27(20:00)
2024,03,26,145162,87608,74182,13426,18.1,2024/03/26(10:00)
2024,03,25,145162,86170,72997,13173,18,2024/03/25(17:00)
2024,03,24,145162,81739,59839,21900,36.6,2024/03/24(20:00)
2024,03,23,145162,82122,60972,21150,34.7,2024/03/23(20:00)
2024,03,22,145162,84736,70498,14238,20.2,2024/03/22(17:00)
2024,03,21,145162,87429,72439,14990,20.7,2024/03/21(20:00)
2024,03,20,145162,87216,72438,14778,20.4,2024/03/20(20:00)
2024,03,19,145008,88935,73424,15511,21.1,2024/03/19(09:00)
2024,03,18,145008,88397,71342,17055,23.9,2024/03/18(19:00)
2024,03,17,145008,82789,61659,21130,34.3,2024/03/17(20:00)
2024,03,16,145008,83600,62121,21479,34.6,2024/03/16(20:00)
2024,03,15,145008,89233,70500,18733,26.6,2024/03/15(09:00)
2024,03,14,145008,89106,73172,15934,21.8,2024/03/14(09:00)
2024,03,13,145008,87647,73868,13779,18.7,2024/03/13(09:00)
2024,03,12,145016,91404,78213,13191,16.9,2024/03/12(10:00)
2024,03,11,145016,92202,74908,17294,23.1,2024/03/11(10:00)
2024,03,10,145016,85565,63464,22101,34.8,2024/03/10(20:00)
2024,03,09,145016,86562,65322,21240,32.5,2024/03/09(20:00)
2024,03,08,145016,94887,74464,20423,27.4,2024/03/08(19:00)
2024,03,07,145016,94616,77363,17253,22.3,2024/03/07(10:00)
2024,03,06,145016,94421,75397,19024,25.2,2024/03/06(09:00)
2024,03,05,145013,95500,81691,13809,16.9,2024/03/05(11:00)
2024,03,04,145013,97561,76456,21105,27.6,2024/03/04(09:00)
2024,03,03,145013,94824,64502,30322,47,2024/03/03(20:00)
2024,03,02,145013,97767,66510,31257,47,2024/03/02(20:00)
2024,03,01,145013,98086,70870,27216,38.4,2024/03/01(20:00)
2024,02,29,145013,98139,79171,18968,24,2024/02/29(11:00)
2024,02,28,145013,98589,74394,24195,32.5,2024/02/28(09:00)
2024,02,27,144983,99023,75933,23090,30.4,2024/02/27(09:00)
2024,02,26,144983,97595,74935,22660,30.2,2024/02/26(09:00)
2024,02,25,144983,99547,63998,35549,55.5,2024/02/25(20:00)
2024,02,24,144983,99383,66189,33194,50.2,2024/02/24(19:00)
2024,02,23,144983,102637,81368,21269,26.1,2024/02/23(10:00)
2024,02,22,144983,101921,84093,17828,21.2,2024/02/22(11:00)
2024,02,21,144983,101952,81790,20162,24.7,2024/02/21(11:00)
2024,02,20,144779,100078,79989,20089,25.1,2024/02/20(15:00)
2024,02,19,144779,100165,76849,23316,30.3,2024/02/19(11:00)
2024,02,18,144779,98249,63128,35121,55.6,2024/02/18(20:00)
2024,02,17,144779,99297,64340,34957,54.3,2024/02/17(01:00)
2024,02,16,144779,98981,75965,23016,30.3,2024/02/16(09:00)
2024,02,15,144779,99252,78957,20295,25.7,2024/02/15(15:00)
2024,02,14,144765,99406,75951,23455,30.9,2024/02/14(10:00)
2024,02,13,144765,99200,71718,27482,38.3,2024/02/13(09:00)
2024,02,12,144765,98537,61340,37197,60.6,2024/02/12(20:00)
2024,02,11,144765,100590,58509,42081,71.9,2024/02/11(20:00)
2024,02,10,144765,98681,57179,41502,72.6,2024/02/10(24:00)
2024,02,09,144765,98759,62755,36004,57.4,2024/02/09(01:00)
2024,02,08,144765,101029,77521,23508,30.3,2024/02/08(09:00)
2024,02,07,144765,97216,79115,18101,22.9,2024/02/07(09:00)
2024,02,06,144746,97363,83641,13722,16.4,2024/02/06(10:00)
2024,02,05,144746,97905,82573,15332,18.6,2024/02/05(11:00)
2024,02,04,144746,98483,64807,33676,52,2024/02/04(19:00)
2024,02,03,144746,96458,66832,29626,44.3,2024/02/03(19:00)
2024,02,02,144746,99377,79921,19456,24.3,2024/02/02(10:00)
2024,02,01,144746,97420,81677,15743,19.3,2024/02/01(10:00)
2024,01,31,144746,99286,80671,18615,23.1,2024/01/31(10:00)
2024,01,30,144652,100814,82692,18122,21.9,2024/01/30(09:00)
2024,01,29,144652,101454,82039,19415,23.7,2024/01/29(10:00)
2024,01,28,144652,100740,67741,32999,48.7,2024/01/28(19:00)
2024,01,27,144652,100226,69125,31101,45,2024/01/27(19:00)
2024,01,26,144652,102593,84354,18239,21.6,2024/01/26(09:00)
2024,01,25,144652,104370,86788,17582,20.3,2024/01/25(10:00)
2024,01,24,144652,104666,88055,16611,18.9,2024/01/24(10:00)
2024,01,23,144640,104997,89231,15766,17.7,2024/01/23(17:00)
2024,01,22,144640,104312,86746,17566,20.2,2024/01/22(18:00)
2024,01,21,144640,99278,66867,32411,48.5,2024/01/21(19:00)
2024,01,20,144640,97708,69500,28208,40.6,2024/01/20(11:00)
2024,01,19,144640,101298,81003,20295,25.1,2024/01/19(10:00)
2024,01,18,144640,102314,82978,19336,23.3,2024/01/18(11:00)
2024,01,17,144640,103539,86162,17377,20.2,2024/01/17(11:00)
2024,01,16,144426,104133,83487,20646,24.7,2024/01/16(09:00)
2024,01,15,144426,105880,81436,24444,30,2024/01/15(18:00)
2024,01,14,144426,102984,66854,36130,54,2024/01/14(19:00)
2024,01,13,144426,98104,68211,29893,43.8,2024/01/13(19:00)
2024,01,12,144426,102931,80506,22425,27.9,2024/01/12(09:00)
2024,01,11,144426,103418,84185,19233,22.8,2024/01/11(10:00)
2024,01,10,144426,105583,85081,20502,24.1,2024/01/10(10:00)
2024,01,09,144421,103910,88214,15696,17.8,2024/01/09(11:00)
2024,01,08,144421,105598,84150,21448,25.5,2024/01/08(10:00)
2024,01,07,144421,103720,69798,33922,48.6,2024/01/07(19:00)
2024,01,06,144421,99930,67965,31965,47,2024/01/06(19:00)
2024,01,05,144421,101519,80632,20887,25.9,2024/01/05(10:00)
2024,01,04,144421,101701,81728,19973,24.4,2024/01/04(09:00)
2024,01,03,144415,101197,83422,17775,21.3,2024/01/03(10:00)
2024,01,02,144415,103419,80460,22959,28.5,2024/01/02(10:00)
2024,01,01,144415,101990,63132,38858,61.6,2024/01/01(19:00)
2023,12,31,144415,102709,63589,39120,61.5,2023/12/31(19:00)
2023,12,30,144415,102366,66025,36341,55,2023/12/30(18:00)
2023,12,29,144415,103693,78244,25449,32.5,2023/12/29(09:00)
2023,12,28,144381,102810,81745,21065,25.8,2023/12/28(10:00)
2023,12,27,144381,103064,82383,20681,25.1,2023/12/27(10:00)
2023,12,26,144381,102816,84106,18710,22.2,2023/12/26(10:00)
2023,12,25,144381,103217,71050,32167,45.3,2023/12/25(19:00)
2023,12,24,144381,102110,68643,33467,48.8,2023/12/24(19:00)
2023,12,23,144381,103207,73369,29838,40.7,2023/12/23(19:00)
2023,12,22,144381,104466,91391,13075,14.3,2023/12/22(10:00)
2023,12,21,144381,105213,91556,13657,14.9,2023/12/21(10:00)
2023,12,20,144381,103834,89230,14604,16.4,2023/12/20(17:00)
2023,12,19,144200,101928,88580,13348,15.1,2023/12/19(10:00)
2023,12,18,144200,103366,88869,14497,16.3,2023/12/18(11:00)
2023,12,17,144200,99119,70703,28416,40.2,2023/12/17(19:00)
2023,12,16,144200,99891,70383,29508,41.9,2023/12/16(19:00)
2023,12,15,144200,99963,78513,21450,27.3,2023/12/15(11:00)
2023,12,14,144200,101310,77896,23414,30.1,2023/12/14(15:00)
2023,12,13,144200,101145,75581,25564,33.8,2023/12/13(09:00)
2023,12,12,144070,100804,76995,23809,30.9,2023/12/12(10:00)
2023,12,11,144070,100669,76893,23776,30.9,2023/12/11(15:00)
2023,12,10,144070,96107,61067,35040,57.4,2023/12/10(19:00)
2023,12,09,144070,97556,62483,35073,56.1,2023/12/09(19:00)
2023,12,08,144070,99956,75245,24711,32.8,2023/12/08(09:00)
2023,12,07,144070,100157,77237,22920,29.7,2023/12/07(09:00)
2023,12,06,144070,99399,79102,20297,25.7,2023/12/06(10:00)
2023,12,05,144063,97325,78441,18884,24.1,2023/12/05(09:00)
2023,12,04,144063,99020,79599,19421,24.4,2023/12/04(18:00)
2023,12,03,144063,97827,65368,32459,49.7,2023/12/03(19:00)
2023,12,02,144063,96616,66924,29692,44.4,2023/12/02(01:00)
2023,12,01,144063,99572,81228,18344,22.6,2023/12/01(10:00)
2023,11,30,144063,96366,82716,13650,16.5,2023/11/30(18:00)
2023,11,29,144063,96664,81146,15518,19.1,2023/11/29(17:00)
2023,11,28,144026,96172,78894,17278,21.9,2023/11/28(18:00)
2023,11,27,144026,93206,79861,13345,16.7,2023/11/27(11:00)
2023,11,26,144336,90868,63720,27148,42.6,2023/11/26(19:00)
2023,11,25,144336,91812,66540,25272,38,2023/11/25(19:00)
2023,11,24,144336,97329,76598,20731,27.1,2023/11/24(18:00)
2023,11,23,144336,92817,72557,20260,27.9,2023/11/23(18:00)
2023,11,22,144336,92695,73266,19429,26.5,2023/11/22(18:00)
2023,11,21,143978,91666,74025,17641,23.8,2023/11/21(09:00)
2023,11,20,143978,92492,75162,17330,23.1,2023/11/20(18:00)
2023,11,19,143978,91299,62598,28701,45.8,2023/11/19(19:00)
2023,11,18,143978,91879,66148,25731,38.9,2023/11/18(19:00)
2023,11,17,143978,90313,76618,13695,17.9,2023/11/17(17:00)
2023,11,16,143978,89652,78815,10837,13.7,2023/11/16(15:00)
2023,11,15,143978,89641,73401,16240,22.1,2023/11/15(09:00)
2023,11,14,143802,89441,74305,15136,20.4,2023/11/14(18:00)
2023,11,13,143802,90613,75186,15427,20.5,2023/11/13(18:00)
2023,11,12,143802,90094,63156,26938,42.7,2023/11/12(19:00)
2023,11,11,143802,90025,63124,26901,42.6,2023/11/11(19:00)
2023,11,10,143802,90043,70206,19837,28.3,2023/11/10(19:00)
2023,11,09,143802,88466,69833,18633,26.7,2023/11/09(18:00)
2023,11,08,143802,88768,68456,20312,29.7,2023/11/08(19:00)
2023,11,07,143770,88748,70456,18292,26,2023/11/07(19:00)
2023,11,06,143770,85794,69757,16037,23,2023/11/06(10:00)
2023,11,05,143770,84474,60309,24165,40.1,2023/11/05(19:00)
2023,11,04,143770,86600,61037,25563,41.9,2023/11/04(19:00)
2023,11,03,143770,86921,69323,17598,25.4,2023/11/03(18:00)
2023,11,02,143770,86411,70489,15922,22.6,2023/11/02(19:00)
2023,11,01,143770,84681,69845,14836,21.2,2023/11/01(18:00)
2023,10,31,143731,84749,69878,14871,21.3,2023/10/31(19:00)
2023,10,30,143731,82961,69602,13359,19.2,2023/10/30(19:00)
2023,10,29,143731,82674,58684,23990,40.9,2023/10/29(19:00)
2023,10,28,143731,81318,59753,21565,36.1,2023/10/28(19:00)
2023,10,27,143731,84240,68296,15944,23.3,2023/10/27(19:00)
2023,10,26,143731,83740,70646,13094,18.5,2023/10/26(19:00)
2023,10,25,143731,83979,69653,14326,20.6,2023/10/25(19:00)
2023,10,24,143712,84248,70197,14051,20,2023/10/24(19:00)
2023,10,23,143712,83397,69638,13759,19.8,2023/10/23(19:00)
2023,10,22,143712,85357,58718,26639,45.4,2023/10/22(19:00)
2023,10,21,143712,83506,59888,23618,39.4,2023/10/21(19:00)
2023,10,20,143712,87249,67722,19527,28.8,2023/10/20(19:00)
2023,10,19,143712,85738,70985,14753,20.8,2023/10/19(19:00)
2023,10,18,143712,86240,69700,16540,23.7,2023/10/18(19:00)
2023,10,17,143559,84574,69960,14614,20.9,2023/10/17(19:00)
2023,10,16,143559,85263,69274,15989,23.1,2023/10/16(19:00)
2023,10,15,143559,83060,59651,23409,39.2,2023/10/15(19:00)
2023,10,14,143559,82270,60838,21432,35.2,2023/10/14(19:00)
2023,10,13,143559,84971,69448,15523,22.4,2023/10/13(19:00)
2023,10,12,143559,84165,70840,13325,18.8,2023/10/12(19:00)
2023,10,11,143486,84960,70443,14517,20.6,2023/10/11(19:00)
2023,10,10,143486,85494,70604,14890,21.1,2023/10/10(19:00)
2023,10,09,143486,86123,63732,22391,35.1,2023/10/09(19:00)
2023,10,08,143486,87772,58651,29121,49.7,2023/10/08(19:00)
2023,10,07,143486,88103,60894,27209,44.7,2023/10/07(19:00)
2023,10,06,143486,89340,68442,20898,30.5,2023/10/06(19:00)
2023,10,05,143486,88648,68749,19899,28.9,2023/10/05(19:00)
2023,10,04,143486,87361,70315,17046,24.2,2023/10/04(19:00)
2023,10,03,143486,88991,61368,27623,45,2023/10/03(19:00)
2023,10,02,143486,89665,57484,32181,56,2023/10/02(19:00)
2023,10,01,143486,88085,54323,33762,62.2,2023/10/01(20:00)
2023,09,30,143486,87107,54122,32985,60.9,2023/09/30(20:00)
2023,09,29,143486,89759,52425,37334,71.2,2023/09/29(20:00)
2023,09,28,143486,92297,56740,35557,62.7,2023/09/28(19:00)
2023,09,27,143486,91105,71537,19568,27.4,2023/09/27(11:00)
2023,09,26,143481,89883,74562,15321,20.5,2023/09/26(17:00)
2023,09,25,143481,90962,74249,16713,22.5,2023/09/25(17:00)
2023,09,24,143481,87899,61853,26046,42.1,2023/09/24(20:00)
2023,09,23,143481,88758,63395,25363,40,2023/09/23(20:00)
2023,09,22,143481,92123,71935,20188,28.1,2023/09/22(19:00)
2023,09,21,143481,92647,74465,18182,24.4,2023/09/21(17:00)
2023,09,20,143481,91763,79940,11823,14.8,2023/09/20(11:00)
2023,09,19,143460,91780,79704,12076,15.2,2023/09/19(17:00)
2023,09,18,143460,94611,79866,14745,18.5,2023/09/18(18:00)
2023,09,17,143460,92366,67762,24604,36.3,2023/09/17(20:00)
2023,09,16,143460,89463,69043,20420,29.6,2023/09/16(15:00)
2023,09,15,143460,94430,78139,16291,20.8,2023/09/15(17:00)
2023,09,14,143460,94930,80149,14781,18.4,2023/09/14(17:00)
2023,09,13,143460,94349,81364,12985,16,2023/09/13(11:00)
2023,09,12,143429,96217,82478,13739,16.7,2023/09/12(17:00)
2023,09,11,143429,97469,81913,15556,19,2023/09/11(18:00)
2023,09,10,143429,95818,68207,27611,40.5,2023/09/10(20:00)
2023,09,09,143429,94923,69152,25771,37.3,2023/09/09(20:00)
2023,09,08,143429,98050,78754,19296,24.5,2023/09/08(18:00)
2023,09,07,143429,98334,81665,16669,20.4,2023/09/07(18:00)
2023,09,06,143429,98686,84181,14505,17.2,2023/09/06(18:00)
2023,09,05,143401,99391,85682,13709,16,2023/09/05(18:00)
2023,09,04,143401,99186,85567,13619,15.9,2023/09/04(17:00)
2023,09,03,143401,98099,70303,27796,39.5,2023/09/03(20:00)
2023,09,02,143401,97506,68954,28552,41.4,2023/09/02(20:00)
2023,09,01,143401,100172,76397,23775,31.1,2023/09/01(18:00)
2023,08,31,143401,101698,77880,23818,30.6,2023/08/31(19:00)
2023,08,30,143401,101752,81190,20562,25.3,2023/08/30(11:00)
2023,08,29,143332,102207,83947,18260,21.8,2023/08/29(15:00)
2023,08,28,143332,102236,81578,20658,25.3,2023/08/28(17:00)
2023,08,27,143332,96857,71334,25523,35.8,2023/08/27(20:00)
2023,08,26,143332,98457,71966,26491,36.8,2023/08/26(20:00)
2023,08,25,143332,102355,82632,19723,23.9,2023/08/25(18:00)
2023,08,24,143332,102384,86561,15823,18.3,2023/08/24(16:00)
2023,08,23,143332,103456,87971,15485,17.6,2023/08/23(17:00)
2023,08,22,143332,104034,90322,13712,15.2,2023/08/22(17:00)
2023,08,21,143332,102587,91334,11253,12.3,2023/08/21(18:00)
2023,08,20,143332,100227,76867,23360,30.4,2023/08/20(20:00)
2023,08,19,142584,101346,77513,23833,30.7,2023/08/19(20:00)
2023,08,18,142584,102810,88570,14240,16.1,2023/08/18(17:00)
2023,08,17,142584,102798,86794,16004,18.4,2023/08/17(18:00)
2023,08,16,142584,102713,86140,16573,19.2,2023/08/16(17:00)
2023,08,15,142584,102421,80630,21791,27,2023/08/15(20:00)
2023,08,14,142584,102576,82760,19816,23.9,2023/08/14(18:00)
2023,08,13,142584,99087,72148,26939,37.3,2023/08/13(20:00)
2023,08,12,142584,99351,69688,29663,42.6,2023/08/12(20:00)
2023,08,11,142584,103881,80549,23332,29,2023/08/11(17:00)
2023,08,10,142584,102841,81651,21190,26,2023/08/10(11:00)
2023,08,09,142584,103773,89935,13838,15.4,2023/08/09(15:00)
2023,08,08,142567,103860,93299,10561,11.3,2023/08/08(18:00)
2023,08,07,142567,104297,93615,10682,11.4,2023/08/07(17:00)
2023,08,06,142567,101793,79971,21822,27.3,2023/08/06(20:00)
2023,08,05,142567,101731,80221,21510,26.8,2023/08/05(20:00)
2023,08,04,142567,101133,86089,15044,17.5,2023/08/04(19:00)
2023,08,03,142567,101997,85990,16007,18.6,2023/08/03(19:00)
2023,08,02,142567,102567,82699,19868,24,2023/08/02(19:00)
2023,08,01,142567,101734,82962,18772,22.6,2023/08/01(20:00)
2023,07,31,142567,101789,80734,21055,26.1,2023/07/31(19:00)
2023,07,30,142567,100571,74605,25966,34.8,2023/07/30(20:00)
2023,07,29,142567,99446,76405,23041,30.2,2023/07/29(20:00)
2023,07,28,142567,102152,85321,16831,19.7,2023/07/28(17:00)
2023,07,27,142201,102234,87033,15201,17.5,2023/07/27(18:00)
2023,07,26,142201,103142,86054,17088,19.9,2023/07/26(17:00)
2023,07,25,142201,103526,83943,19583,23.3,2023/07/25(17:00)
2023,07,24,142201,102648,83062,19586,23.6,2023/07/24(17:00)
2023,07,23,142201,99820,70370,29450,41.9,2023/07/23(20:00)
2023,07,22,142201,99735,72220,27515,38.1,2023/07/22(15:00)
2023,07,21,142201,103301,84221,19080,22.7,2023/07/21(17:00)
2023,07,20,142201,104568,83731,20837,24.9,2023/07/20(17:00)
2023,07,19,142201,103424,80874,22550,27.9,2023/07/19(19:00)
2023,07,18,142126,101987,82615,19372,23.4,2023/07/18(15:00)
2023,07,17,142126,102562,82555,20007,24.2,2023/07/17(17:00)
